,English,Russian,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.learning-words.welcome,"Hello, {0}!","Привет, {0}!","Hallo, {0}!","Hola, {0}!","안녕하세요, {0}!","Bonjour, {0}!","Olá, {0}!",こんにちは、{0}さん！,"Ciao, {0}!",你好，{0}！,สวัสดี {0}!,"Halo, {0}!"
ui.learning-words.best-progress,Cool progress!,Крутой прогресс!,Cooler Fortschritt!,¡Buen progreso!,대단한 진전이에요!,Des progrès sympas !,Progresso bacana!,すごい進歩ですね！,Fantastico progresso!,很酷的进展！,ความคืบหน้าเยี่ยมมาก!,Kemajuan yang keren!
ui.learning-words.all-categories,All categories,Все категории,Alle Kategorien,Todas las categorías,모든 카테고리,Toutes les catégories,Todas as categorias,すべてのカテゴリー,Tutte le categorie,所有类别,หมวดหมู่ทั้งหมด,Semua kategori
ui.learning-words.your-achievements,Your achievements,Ваши достижения,Ihre Erfolge,Tus logros,당신의 업적,Vos réalisations,Suas conquistas,あなたの業績,I tuoi successi,你的成就,ความสำเร็จของคุณ,Prestasi Anda
ui.learning-words.category-name-imagine-dragons,"From the songs
Imagen Dragons","Из песен
Imagen Dragons","Aus den Liedern
Imagen Dragons","De las canciones
Imagen Dragons","노래
Imagen Dragons에서","Extrait des chansons
Imagen Dragons","Das músicas
Imagen Dragons","歌より
イマジェン・ドラゴンズ","Dalle canzoni
Imagen Dragons",摘自歌曲《Imagen Dragons》,"จากเพลง
Imagen Dragons","Dari lagu
Imagen Dragons"
ui.achievements.button.days,{0} Days,{0} Дней,{0} Tage,{0} días,{0}일,{0} jours,{0} Dias,{0}日,{0} giorni,{0} 天,{0} วัน,{0} Hari
ui.learning-words.create-text.ai,"Use new words in context with
the neural network","Используйте новые слова в контексте с
нейронной сетью",Neue Wörter im Kontext mit dem neuronalen Netzwerk verwenden,Utilice palabras nuevas en contexto con la red neuronal.,"신경망과 함께 맥락에 맞는 새로운 단어를 사용하세요
",Utiliser de nouveaux mots en contexte avec le réseau neuronal,"Use novas palavras em contexto com
a rede neural",ニューラルネットワークの文脈に沿って新しい単語を使う,Usa nuove parole nel contesto con la rete neurale,结合神经网络的语境使用新词汇,"ใช้คำใหม่ในบริบทของ
เครือข่ายประสาท","Gunakan kata-kata baru dalam konteks dengan
jaringan saraf"
ui.learning-words.progress.goal,Goal:,Цель:,Ziel:,Meta:,목표:,But:,Meta:,ゴール：,Obiettivo:,目标：,เป้าหมาย:,Sasaran:
ui.learning-words.progress.goal-description,"You've learned {0} words today, more than {1}% of the participants","Вы выучили {0} слов сегодня, больше, чем {1}% участников","Sie haben heute {0} Wörter gelernt, mehr als {1} % der Teilnehmer","Has aprendido {0} palabras hoy, más del {1}% de los participantes",오늘 {0}개의 단어를 배웠습니다. 참가자의 {1}% 이상이,"Vous avez appris {0} mots aujourd'hui, soit plus de {1} % des participants","Você aprendeu {0} palavras hoje, mais de {1}% dos participantes",今日は参加者の{1}%以上が{0}語を学習しました,"Hai imparato {0} parole oggi, più del {1}% dei partecipanti",您今天学习了 {0} 个单词，比 {1}% 的参与者学习的单词多,วันนี้คุณได้เรียนรู้คำศัพท์แล้ว {0} คำ มากกว่า {1}% ของผู้เข้าร่วม,"Anda telah mempelajari {0} kata hari ini, lebih dari {1}% peserta"
ui.learning-words.word-learning.words-goal,Learn {0} new words,Выучите {0} новых слов,Lerne {0} neue Wörter,Aprende {0} palabras nuevas,새로운 단어 {0}개를 배우세요,Apprenez {0} nouveaux mots,Aprenda {0} novas palavras,{0}個の新しい単語を学ぶ,Impara {0} nuove parole,学习{0}个新单词,เรียนรู้คำศัพท์ใหม่ {0} คำ,Pelajari {0} kata baru
ui.learning-words.word-learning.repeat-words-amount,{0} words are available for repetition,{0} слов доступны для повторения,{0} Wörter stehen zur Wiederholung zur Verfügung,{0} palabras están disponibles para repetición,{0}개의 단어를 반복할 수 있습니다.,{0} mots sont disponibles pour la répétition,{0} palavras estão disponíveis para repetição,繰り返し可能な単語は{0}個あります,{0} parole sono disponibili per la ripetizione,{0} 个单词可重复,มีคำที่สามารถทำซ้ำได้ {0} คำ,{0} kata tersedia untuk pengulangan
ui.learning-words.word-learning.button.start-practice,Start practice,Начать практику,Beginnen Sie mit der Praxis,Empezar a practicar,연습 시작,Commencer la pratique,Comece a praticar,練習を始める,Inizia la pratica,开始练习,เริ่มฝึกซ้อม,Mulai berlatih